DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
03,005,SAC,,17.185,12,B,17,N,5723,7.530,66.210,4.990,7,TUE,MAY,S,"5,758",8.510,58.970,5.020,17,TUE,APR
03,005,SAC,,22.565,20,B,17,N,8730,7.770,69.540,5.400,7,MON,MAR,S,"8,063",8.180,61.050,4.990,16,WED,JAN
03,005,SAC,,23.177,25,A,17,N,8504,7.770,57.560,4.470,7,THU,MAY,N,"7,608",7.860,50.900,4.000,15,TUE,NOV
03,005,SAC,,23.799,30,A,17,S,7652,7.620,51.870,3.950,7,WED,JUN,N,"8,091",7.760,53.850,4.180,16,MON,OCT
03,005,SAC,,26.722,39,B,17,S,7324,7.440,57.960,4.310,7,WED,JUN,N,"7,791",7.540,60.830,4.590,16,THU,MAR
03,005,SAC,,29.022,45,A,17,S,4966,6.860,56.950,3.910,7,FRI,AUG,N,"5,568",7.760,56.450,4.380,16,FRI,MAY
03,005,SAC,,29.907,50,A,17,N,3145,6.970,52.590,3.660,12,SUN,SEP,S,"3,351",7.010,55.660,3.900,15,THU,MAR
03,005,SAC,,34.652,60,O,15,N,2277,6.980,58.790,4.100,7,MON,MAY,S,"2,972",8.900,60.150,5.350,16,FRI,JUL
03,005,YOL,,0.000,60,O,15,N,2277,6.980,58.790,4.100,7,MON,MAY,S,"2,972",8.900,60.150,5.350,16,FRI,JUL
03,005,YOL,,5.530,65,B,15,N,2318,7.250,57.190,4.140,7,WED,JUL,S,"2,994",9.250,57.890,5.350,17,FRI,JUN
03,005,YOL,R,6.500,70,A,17,S,1242,7.810,55.650,4.350,12,THU,DEC,S,"1,407",9.120,54.010,4.920,15,WED,DEC
03,005,YOL,R,7.086,75,A,17,N,1558,7.120,55.500,3.950,10,THU,JUN,N,"1,791",8.700,52.250,4.550,16,FRI,JUL
03,005,YOL,R,22.610,80,A,17,N,1946,8.480,63.310,5.370,9,FRI,AUG,N,"2,173",9.570,62.600,5.990,17,FRI,JUN
03,005,YOL,R,22.610,79,B,17,N,1171,8.730,53.540,4.670,11,MON,DEC,S,"1,276",8.450,60.220,5.090,16,SAT,NOV
03,005,COL,R,17.975,85,B,17,N,1852,10.120,59.970,6.070,11,FRI,JUN,N,"2,061",10.950,61.650,6.750,13,FRI,AUG
03,005,GLE,R,9.872,345,B,17,S,1363,10.180,52.140,5.310,11,SAT,AUG,S,"1,748",11.230,60.610,6.810,16,SUN,AUG
03,005,GLE,R,10.877,202,B,17,N,1684,10.110,57.200,5.780,11,FRI,JUN,N,"1,945",10.490,63.690,6.680,17,FRI,AUG
